# Curated fixed expressions frequently encountered in Russian prose.
ахиллесова пята	Уязвимое место, слабая сторона.	
дамоклов меч	Постоянная угроза, нависшая над человеком.	
танталовы муки	Мучительное ощущение близости желаемого и невозможности его достичь.	
сизифов труд	Бесконечная и бесплодная тяжёлая работа.	
нить Ариадны	Средство, помогающее найти выход из трудного положения.	
яблоко раздора	Причина спора или конфликта.	
ящик Пандоры	Источник многочисленных бед, открытый необдуманным поступком.	
авгиевы конюшни	Крайний беспорядок, требующий решительной очистки.	
между Сциллой и Харибдой	Между двумя одинаково опасными крайностями.	
перейти Рубикон	Принять необратимое решение.	
пиррова победа	Победа, купленная слишком дорогой ценой.	
лебединая песня	Последнее значительное произведение или выступление.	
мартышкин труд	Бесполезная, бессмысленная работа.	
кануть в Лету	Быть забытым, исчезнуть из памяти.	
витать в облаках	Мечтать, быть оторванным от действительности.	
держать камень за пазухой	Таить злобу, недоброжелательство.	
играть первую скрипку	Занимать главное положение, руководить.	
как снег на голову	Совершенно неожиданно.	
медвежья услуга	Помощь, принесшая больше вреда, чем пользы.	
ни пуха ни пера	Пожелание удачи, обычно с ответом «к чёрту».	
с корабля на бал	Сразу из одной обстановки попасть в другую, без перехода.	
тёмная лошадка	Человек или участник с неизвестными возможностями.	темная лошадка
точка невозврата	Момент, после которого возвращение к прежнему невозможно.	
в два счёта	Очень быстро, без труда.	
дело табак	Ситуация плоха, положение безнадёжно.	
бить баклуши	Бездельничать.	
зарубить на носу	Крепко запомнить.	
положа руку на сердце	Искренне, честно.	
с три короба	Очень много, обычно о выдумках или обещаниях.	
на худой конец	В крайнем случае.	
