# Curated reader seed. Columns: word<TAB>Russian definition<TAB>aliases separated by |.
a priori	До опыта; заранее, исходя из предположения.	априори
a posteriori	После опыта; на основании наблюдения.	апостериори
ad hoc	Для данного случая; специально созданный для конкретной задачи.	ад хок
ad infinitum	До бесконечности; без конца.	ад инфинитум
alma mater	Учебное заведение, которое окончил человек; первоначально — «кормящая мать».	альма-матер
alter ego	Второе «я»; близкий двойник или доверенное лицо.	альтер эго
bona fide	Добросовестно; подлинный, настоящий.	бона фиде
carpe diem	Лови день; пользуйся настоящим.	карпе дием
ceteris paribus	При прочих равных условиях.	
conditio sine qua non	Обязательное, непременное условие.	сине ква нон
de facto	Фактически, на деле.	де-факто
de jure	Юридически, по праву.	де-юре
et cetera	И так далее.	etc.
ex libris	Книжный знак владельца библиотеки.	экслибрис
ex nihilo	Из ничего.	экс нихило
homo sapiens	Человек разумный; биологический вид человека.	хомо сапиенс
in absentia	В отсутствие кого-либо.	ин абсентия
in extremis	В крайнем положении; перед смертью.	ин экстремис
in medias res	В самый разгар действия.	ин медиас рес
in memoriam	В память о ком-либо.	ин мемориам
in situ	На месте; в естественных условиях.	ин ситу
in vitro	Вне живого организма, в лабораторных условиях.	ин витро
in vivo	В живом организме.	ин виво
ipso facto	Самим этим фактом; тем самым.	ипсо факто
mea culpa	Моя вина; признание собственной вины.	меа кульпа
modus operandi	Образ действия, характерный способ работы.	модус операнди
modus vivendi	Образ жизни; временное соглашение о сосуществовании.	модус вивенди
non sequitur	Логически не следующее из сказанного; нелепый вывод.	нон секвитур
nota bene	Заметь хорошо; важное замечание.	нота бене
panem et circenses	«Хлеба и зрелищ»; отвлечение народа развлечениями.	панем эт цирценс
per se	Само по себе.	пер се
persona non grata	Нежелательное лицо.	персона нон грата
post factum	После свершившегося; задним числом.	постфактум
pro forma	Для соблюдения внешней формы, формально.	про форма
quid pro quo	Услуга или вещь, предоставленная в обмен на другую.	квид про кво
status quo	Существующее положение дел.	статус-кво
tabula rasa	Чистая доска; отсутствие заранее сложившихся представлений.	табула раса
tempus fugit	Время летит; время быстро проходит.	темпус фугит
terra incognita	Неизведанная область; неизвестная тема.	терра инкогнита
veni vidi vici	Пришёл, увидел, победил.	вени види вици|вени, види, вици
vice versa	И наоборот.	вице верса
vox populi	Голос народа; общественное мнение.	вокс попули
