# Short explanations of recurring fantasy terms found in the new corpus.
хоббит	Вымышленный народ маленьких миролюбивых жителей Средиземья.	хоббиты|хоббитов|хоббитам|хоббитами
назгул	Призрачный всадник, слуга Саурона в мире Толкина.	назгулы|назгулов|назгулам|назгулами
орк	Воин из враждебного народу в фэнтезийном мире Толкина.	орки|орка|орков|оркам|орками
энт	Древоподобное разумное существо, хранитель леса у Толкина.	энты|энта|энтов|энтами|онты|онта|онтам|онтов|онтами
майар	Духовные существа, служащие высшим силам в мифологии Толкина.	майяры|майара|майар|майарам
истари	Волшебники, посланные в Средиземье для борьбы с Сауроном.	истари
палантир	Волшебный камень, позволяющий видеть далёкие места и вести связь.	палантиры|палантиром|палантире|палантиров
кольцо Всевластия	Единое Кольцо, созданное Сауроном для власти над другими кольцами.	Кольца Всевластия|Кольцу Всевластия|Кольцом Всевластия
Рохан	Королевство всадников на юге Средиземья.	Рохана|Рохану|Роханом
Шир	Родина хоббитов в Средиземье.	Шира|Ширу|Широм
дракон	Могущественное разумное существо в мифологии Земноморья и фэнтези.	драконы|дракона|драконов|драконом
маг	Человек, владеющий волшебным искусством; в Земноморье — обученный чародей.	маги|мага|магом|магами
чародей	Волшебник, практикующий заклинания и иные формы магии.	чародеи|чародея|чародеем|чародеями
истинное имя	В магии Земноморья — тайное имя существа, дающее власть над ним.	истинного имени|истинному имени|истинным именем
равновесие	Важный принцип магии Земноморья: вмешательство не должно нарушать порядок мира.	равновесия|равновесию|равновесием
тень	В «Волшебнике Земноморья» — опасная сущность, преследующая Геда.	тени|тенью|тенью
фехтовальщик	Воин, владеющий искусством боя на мечах; книжное обозначение мечника.	фехтовальщики|фехтовальщика|фехтовальщиком
